-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.8069462
-4.	-3.5	6.052096
-3.5	-3.	30.66395
-3.	-2.5	89.9745
-2.5	-2.	216.2616
-2.	-1.5	395.4036
-1.5	-1.	727.8654
-1.	-0.5	1081.308
-0.5	0.	1637.697
0.	0.5	2178.351
0.5	1.	2962.299
1.	1.5	3877.376
1.5	2.	4830.38
2.	2.5	5746.264
2.5	3.	6109.793
3.	3.5	5849.553
3.5	4.	4123.091
4.	4.5	484.1677
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
