-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	2.544391
-3.5	-3.	10.40887
-3.	-2.5	35.62147
-2.5	-2.	90.44153
-2.	-1.5	182.9648
-1.5	-1.	310.1844
-1.	-0.5	504.7146
-0.5	0.	775.5766
0.	0.5	1100.333
0.5	1.	1528.485
1.	1.5	2153.48
1.5	2.	2736.839
2.	2.5	3335.003
2.5	3.	3678.033
3.	3.5	3639.867
3.5	4.	2696.129
4.	4.5	350.2007
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
