-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	0.
-3.5	-3.	0.
-3.	-2.5	0.2935531
-2.5	-2.	0.9822974
-2.	-1.5	1.272716
-1.5	-1.	1.603677
-1.	-0.5	1.705351
-0.5	0.	1.845277
0.	0.5	1.783862
0.5	1.	1.774274
1.	1.5	1.631218
1.5	2.	1.258868
2.	2.5	0.9707855
2.5	3.	0.2590919
3.	3.5	0.
3.5	4.	0.
4.	4.5	0.
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
