-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	0.
-3.5	-3.	0.
-3.	-2.5	0.4326368
-2.5	-2.	1.249183
-2.	-1.5	1.486912
-1.5	-1.	1.687562
-1.	-0.5	1.714633
-0.5	0.	1.684773
0.	0.5	1.713484
0.5	1.	1.730711
1.	1.5	1.634241
1.5	2.	1.455412
2.	2.5	1.196027
2.5	3.	0.4208242
3.	3.5	0.
3.5	4.	0.
4.	4.5	0.
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
