-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	85.64118
-3.5	-3.	343.3186
-3.	-2.5	1253.178
-2.5	-2.	2145.428
-2.	-1.5	2787.23
-1.5	-1.	6534.822
-1.	-0.5	9608.774
-0.5	0.	15641.31
0.	0.5	21280.86
0.5	1.	27521.27
1.	1.5	38069.34
1.5	2.	50089.89
2.	2.5	57801.38
2.5	3.	59805.95
3.	3.5	58024.94
3.5	4.	42044.58
4.	4.5	4891.746
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
