-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	0.
-3.5	-3.	62.57846
-3.	-2.5	375.4708
-2.5	-2.	590.3263
-2.	-1.5	2401.215
-1.5	-1.	2095.192
-1.	-0.5	5784.235
-0.5	0.	8596.736
0.	0.5	11096.52
0.5	1.	17334.84
1.	1.5	20367.75
1.5	2.	25832.71
2.	2.5	32115.71
2.5	3.	35782.05
3.	3.5	35125.78
3.5	4.	26426.13
4.	4.5	3295.083
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
