-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	0.
-3.5	-3.	43.22789
-3.	-2.5	43.22789
-2.5	-2.	303.3808
-2.	-1.5	484.7881
-1.5	-1.	643.3405
-1.	-0.5	1686.022
-0.5	0.	2731.045
0.	0.5	3808.411
0.5	1.	7181.645
1.	1.5	10637.84
1.5	2.	13257.67
2.	2.5	16748.2
2.5	3.	19180.8
3.	3.5	19806.89
3.5	4.	15111.28
4.	4.5	2369.393
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
