-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.4455682
-4.	-3.5	16.15185
-3.5	-3.	134.7844
-3.	-2.5	594.0538
-2.5	-2.	1565.95
-2.	-1.5	3126.552
-1.5	-1.	5088.835
-1.	-0.5	7341.962
-0.5	0.	9483.252
0.	0.5	11542.56
0.5	1.	13395.12
1.	1.5	14633.13
1.5	2.	14812.25
2.	2.5	13185.7
2.5	3.	9671.727
3.	3.5	5191.984
3.5	4.	1535.428
4.	4.5	72.18205
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
