-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	22.40989
-3.5	-3.	127.9905
-3.	-2.5	394.3678
-2.5	-2.	897.0886
-2.	-1.5	1798.798
-1.5	-1.	3159.101
-1.	-0.5	5073.414
-0.5	0.	7649.396
0.	0.5	11122.24
0.5	1.	15779.33
1.	1.5	21360.55
1.5	2.	27422.77
2.	2.5	33062.9
2.5	3.	36745.98
3.	3.5	36349.99
3.5	4.	26644.66
4.	4.5	3418.779
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
