-10.5	-10.	0.
-10.	-9.5	0.
-9.5	-9.	0.
-9.	-8.5	0.
-8.5	-8.	0.
-8.	-7.5	0.
-7.5	-7.	0.
-7.	-6.5	0.
-6.5	-6.	0.
-6.	-5.5	0.
-5.5	-5.	0.
-5.	-4.5	0.
-4.5	-4.	0.
-4.	-3.5	0.
-3.5	-3.	0.
-3.	-2.5	5.512246
-2.5	-2.	16.47031
-2.	-1.5	19.75305
-1.5	-1.	21.76795
-1.	-0.5	22.28999
-0.5	0.	22.26891
0.	0.5	22.18056
0.5	1.	22.29936
1.	1.5	21.14819
1.5	2.	18.65618
2.	2.5	15.31468
2.5	3.	5.240583
3.	3.5	0.
3.5	4.	0.
4.	4.5	0.
4.5	5.	0.
5.	5.5	0.
5.5	6.	0.
6.	6.5	0.
6.5	7.	0.
7.	7.5	0.
7.5	8.	0.
8.	8.5	0.
8.5	9.	0.
9.	9.5	0.
9.5	10.	0.
10.	10.5	0.
